RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,ZHVI
62186,8109,11702,Zip,NY,NY,Babylon,New York-Newark-Jersey City,Suffolk County,636704
63818,8110,14901,Zip,NY,NY,Town of Elmira,Elmira,Chemung County,80748
68882,8110,26105,Zip,WV,WV,Vienna,Parkersburg-Vienna,Wood County,151292
77966,8110,46113,Zip,IN,IN,Indianapolis,Indianapolis-Carmel-Anderson,Marion County,220221
58262,8113,1095,Zip,MA,MA,Wilbraham,Springfield,Hampden County,376388
60325,8114,6461,Zip,CT,CT,Milford,New Haven-Milford,New Haven County,399738
97843,8114,94709,Zip,CA,CA,Berkeley,San Francisco-Oakland-Hayward,Alameda County,1472045
76497,8116,43064,Zip,OH,OH,Plain City,Columbus,Union County,411838
90658,8117,75057,Zip,TX,TX,Lewisville,Dallas-Fort Worth-Arlington,Denton County,283228
99224,8118,97365,Zip,OR,OR,Newport,Newport,Lincoln County,416692
69318,8118,27358,Zip,NC,NC,Summerfield,Greensboro-High Point,Guilford County,401453
95171,8120,86327,Zip,AZ,AZ,Dewey-Humboldt,Prescott,Yavapai County,425814
79048,8120,48189,Zip,MI,MI,Whitmore Lake,Ann Arbor,Washtenaw County,330011
62097,8120,11411,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,605466
66532,8123,20650,Zip,MD,MD,Leonardtown,California-Lexington Park,Saint Marys County,431862
86594,8123,64772,Zip,MO,MO,Nevada,,Vernon County,110188
92344,8123,78248,Zip,TX,TX,San Antonio,San Antonio-New Braunfels,Bexar County,441364
70024,8126,28551,Zip,NC,NC,La Grange,Kinston,Lenoir County,
81193,8127,53074,Zip,WI,WI,Port Washington,Milwaukee-Waukesha-West Allis,Ozaukee County,270117
85808,8127,62948,Zip,IL,IL,Herrin,Carbondale-Marion,Williamson County,
58509,8129,1835,Zip,MA,MA,Haverhill,Boston-Cambridge-Newton,Essex County,451661
70355,8130,29180,Zip,SC,SC,Winnsboro,Columbia,Fairfield County,94788
92955,8130,79412,Zip,TX,TX,Lubbock,Lubbock,Lubbock County,106476
66280,8132,20194,Zip,VA,VA,Reston,Washington-Arlington-Alexandria,Fairfax County,665979
73514,8132,35565,Zip,AL,AL,Haleyville,,Winston County,78805
74884,8132,38572,Zip,TN,TN,Crossville,Crossville,Cumberland County,217915
399598,8135,55130,Zip,MN,MN,Saint Paul,Minneapolis-St. Paul-Bloomington,Ramsey County,234450
74870,8136,38556,Zip,TN,TN,Jamestown,,Fentress County,110674
72936,8138,33955,Zip,FL,FL,Punta Gorda,Punta Gorda,Charlotte County,352103
88574,8139,70394,Zip,LA,LA,Raceland,Houma-Thibodaux,Lafourche Parish,146573
77314,8139,44718,Zip,OH,OH,Canton,Canton-Massillon,Stark County,294937
61810,8141,10470,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,584592
80794,8142,52003,Zip,IA,IA,Dubuque,Dubuque,Dubuque County,263695
65082,8143,17517,Zip,PA,PA,Denver,Lancaster,Lancaster County,288549
58895,8143,2767,Zip,MA,MA,Raynham,Providence-Warwick,Bristol County,509596
82571,8143,56031,Zip,MN,MN,Fairmont,Fairmont,Martin County,
100167,8143,99218,Zip,WA,WA,Spokane,Spokane-Spokane Valley,Spokane County,440408
67753,8147,23509,Zip,VA,VA,Norfolk,Virginia Beach-Norfolk-Newport News,Norfolk City,230613
66924,8147,21620,Zip,MD,MD,Chestertown,,Kent County,278761
91471,8149,76550,Zip,TX,TX,Lampasas,Killeen-Temple,Lampasas County,
91652,8150,77003,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,338788
67834,8151,23847,Zip,VA,VA,Emporia,,Greensville County,78018
98120,8152,95338,Zip,CA,CA,Mariposa,,Mariposa County,352426
94383,8153,84014,Zip,UT,UT,Centerville,Ogden-Clearfield,Davis County,541028
65519,8154,18512,Zip,PA,PA,Dunmore,Scranton--Wilkes-Barre--Hazleton,Lackawanna County,153900
92140,8154,77868,Zip,TX,TX,Navasota,,Grimes County,182382
73922,8156,36541,Zip,AL,AL,Grand Bay,Mobile,Mobile County,176980
58524,8157,1864,Zip,MA,MA,North Reading,Boston-Cambridge-Newton,Middlesex County,683842
99119,8157,97205,Zip,OR,OR,Portland,Portland-Vancouver-Hillsboro,Multnomah County,554597
68554,8157,25309,Zip,WV,WV,South Charleston,Charleston,Kanawha County,134675
59040,8157,3106,Zip,NH,NH,Hooksett,Concord,Merrimack County,382349
98077,8161,95252,Zip,CA,CA,Valley Springs,,Calaveras County,464804
77019,8161,44119,Zip,OH,OH,Cleveland,Cleveland-Elyria,Cuyahoga County,113917
89009,8163,71295,Zip,LA,LA,Winnsboro,,Franklin Parish,108323
63871,8163,15061,Zip,PA,PA,Monaca,Pittsburgh,Beaver County,181982
66229,8163,20132,Zip,VA,VA,Purcellville,Washington-Arlington-Alexandria,Loudoun County,713813
