RegionID,RegionName,SizeRank,MsaName,ZORI
99137,97223,790,"Portland, OR",1948
95818,89122,791,"Las Vegas, NV",1641
94846,85254,792,"Phoenix, AZ",2213
67708,23434,793,"Virginia Beach, VA",1364
66622,20774,795,"Washington, DC",1911
69762,28173,798,"Charlotte, NC",2345
92354,78258,799,"San Antonio, TX",1485
85934,63116,801,"St. Louis, MO",822
84329,60073,802,"Chicago, IL",1731
90642,75040,803,"Dallas-Fort Worth, TX",1732
72371,33033,804,"Miami-Fort Lauderdale, FL",2064
69453,27613,806,"Raleigh, NC",1480
97931,95020,807,"San Jose, CA",3365
90783,75231,809,"Dallas-Fort Worth, TX",1216
65814,19147,811,"Philadelphia, PA",1744
70803,30016,814,"Atlanta, GA",1799
91691,77042,815,"Houston, TX",1406
94840,85248,816,"Phoenix, AZ",2239
99947,98661,820,"Portland, OR",1596
66838,21228,824,"Baltimore, MD",1739
96009,90028,824,"Los Angeles-Long Beach-Anaheim, CA",2598
89903,73072,825,"Oklahoma City, OK",1310
97569,94115,826,"San Francisco, CA",3182
96743,92234,827,"Riverside, CA",2702
92610,78681,828,"Austin, TX",1993
97083,93003,828,"Ventura, CA",2774
96520,91786,830,"Riverside, CA",2311
94802,85207,832,"Phoenix, AZ",2170
99583,98125,837,"Seattle, WA",1941
66597,20744,838,"Washington, DC",1863
74649,38111,839,"Memphis, TN",1183
90711,75126,839,"Dallas-Fort Worth, TX",2052
72358,33020,840,"Miami-Fort Lauderdale, FL",2016
72717,33614,841,"Tampa, FL",1327
92346,78250,842,"San Antonio, TX",1417
90726,75149,843,"Dallas-Fort Worth, TX",1662
72478,33176,846,"Miami-Fort Lauderdale, FL",1765
90630,75025,847,"Dallas-Fort Worth, TX",2242
65943,19464,849,"Philadelphia, PA",1301
93252,80123,850,"Denver, CO",1790
82107,55106,854,"Minneapolis-St Paul, MN",1146
60540,7024,859,"New York, NY",2259
82189,55337,860,"Minneapolis-St Paul, MN",1458
93596,80918,863,"Colorado Springs, CO",1845
98923,96789,864,"Urban Honolulu, HI",2384
93202,80012,865,"Denver, CO",1295
96005,90024,867,"Los Angeles-Long Beach-Anaheim, CA",3482
417437,85122,868,"Phoenix, AZ",1599
96613,92057,871,"San Diego, CA",2799
82156,55303,875,"Minneapolis-St Paul, MN",1405
90629,75024,876,"Dallas-Fort Worth, TX",1624
95811,89115,878,"Las Vegas, NV",1394
91712,77063,881,"Houston, TX",1220
73198,34744,882,"Orlando, FL",2027
85874,63031,884,"St. Louis, MO",1338
69728,28117,885,"Charlotte, NC",1665
92312,78216,885,"San Antonio, TX",1040
69813,28262,887,"Charlotte, NC",1516
60592,7083,891,"New York, NY",2428
94732,85016,892,"Phoenix, AZ",1783
65863,19335,894,"Philadelphia, PA",1914
66261,20171,896,"Washington, DC",1970
69372,27513,896,"Raleigh, NC",1679
93204,80014,896,"Denver, CO",1704
91276,76133,899,"Dallas-Fort Worth, TX",1716
72541,33322,901,"Miami-Fort Lauderdale, FL",2272
60945,8054,903,"Philadelphia, PA",2035
60714,7601,904,"New York, NY",2086
99775,98391,911,"Seattle, WA",2205
72428,33125,912,"Miami-Fort Lauderdale, FL",2389
97008,92708,913,"Los Angeles-Long Beach-Anaheim, CA",2583
97116,93063,915,"Ventura, CA",2759
69455,27615,916,"Raleigh, NC",1535
96645,92103,917,"San Diego, CA",2362
90663,75063,920,"Dallas-Fort Worth, TX",1540
89902,73071,922,"Oklahoma City, OK",1069
94819,85224,926,"Phoenix, AZ",1796
77586,45324,927,"Dayton, OH",1169
90670,75074,927,"Dallas-Fort Worth, TX",1530
93305,80229,928,"Denver, CO",1608
91184,76010,931,"Dallas-Fort Worth, TX",1610
74252,37221,933,"Nashville, TN",1582
61624,10010,935,"New York, NY",3819
70295,29073,937,"Columbia, SC",
72718,33615,939,"Tampa, FL",1908
92343,78247,940,"San Antonio, TX",1657
71869,32216,942,"Jacksonville, FL",1598
79118,48307,944,"Detroit, MI",1602
70975,30236,946,"Atlanta, GA",1608
69452,27612,947,"Raleigh, NC",1481
69723,28110,948,"Charlotte, NC",1783
96411,91402,951,"Los Angeles-Long Beach-Anaheim, CA",1614
72315,32940,952,"Melbourne, FL",2064
85954,63136,956,"St. Louis, MO",1000
69444,27604,957,"Raleigh, NC",1751
66877,21401,959,"Baltimore, MD",2314
97571,94117,960,"San Francisco, CA",3354
71029,30309,961,"Atlanta, GA",2256
84466,60411,962,"Chicago, IL",1382
60347,6492,970,"New Haven, CT",1337
96572,91977,971,"San Diego, CA",2386
82105,55104,973,"Minneapolis-St Paul, MN",1758
96886,92507,974,"Riverside, CA",2436
70817,30032,975,"Atlanta, GA",1625
99565,98105,976,"Seattle, WA",1883
94872,85283,978,"Phoenix, AZ",1696
72391,33062,980,"Miami-Fort Lauderdale, FL",2873
96602,92037,981,"San Diego, CA",3823
96389,91367,982,"Los Angeles-Long Beach-Anaheim, CA",2759
65368,18103,983,"Allentown, PA",1642
67776,23608,984,"Virginia Beach, VA",1232
72715,33612,988,"Tampa, FL",1443
71905,32259,989,"Jacksonville, FL",2246
65771,19103,991,"Philadelphia, PA",1868
99676,98270,991,"Seattle, WA",2464
72173,32725,998,"Daytona Beach, FL",1555
94248,83642,1000,"Boise City, ID",1991
91657,77008,1001,"Houston, TX",1771
97575,94121,1002,"San Francisco, CA",3126
65806,19139,1006,"Philadelphia, PA",1286
72154,32703,1007,"Orlando, FL",1833
74240,37209,1008,"Nashville, TN",1784
98437,95828,1012,"Sacramento, CA",1854
96415,91406,1014,"Los Angeles-Long Beach-Anaheim, CA",1958
99492,98004,1015,"Seattle, WA",2759
71319,30809,1016,"Augusta, GA",1439
